Date,Name,Year,Letterboxd URI,Rating
2023-09-23,Kung Fu Panda,2008,https://boxd.it/1Yws,3.5
2023-09-23,Beauty and the Beast,1991,https://boxd.it/1XhG,3.5
2023-09-23,Madagascar,2005,https://boxd.it/29dc,3.5
2023-09-23,Ted,2012,https://boxd.it/2pgc,3
2023-09-23,Jumanji,1995,https://boxd.it/1ZLI,3.5
2023-09-23,Snow White and the Seven Dwarfs,1937,https://boxd.it/2arO,3.5
2023-09-23,The Hangover Part II,2011,https://boxd.it/PZI,3.5
2023-09-23,Minions,2015,https://boxd.it/6jCO,3.5
2023-09-23,King Kong,2005,https://boxd.it/2aLa,3.5
2023-09-23,Madagascar: Escape 2 Africa,2008,https://boxd.it/1W2K,3.5
2023-09-23,BlacKkKlansman,2018,https://boxd.it/hxL8,3.5
2023-09-23,The Amazing Spider-Man,2012,https://boxd.it/27PI,3.5
2023-09-23,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,3.5
2023-09-23,Ice Age,2002,https://boxd.it/2apS,3.5
2023-09-23,Kung Fu Panda 2,2011,https://boxd.it/G36,3.5
2023-09-23,The Karate Kid,2010,https://boxd.it/15HA,3.5
2023-09-23,Madagascar 3: Europe's Most Wanted,2012,https://boxd.it/2NF6,3.5
2023-09-23,Dorian Gray,2009,https://boxd.it/1zaw,3.5
2023-09-23,Miracle in Cell No. 7,2019,https://boxd.it/nFrM,3.5
2023-09-23,Diego Maradona,2019,https://boxd.it/jyoS,3.5
2023-09-23,Pelé: Birth of a Legend,2016,https://boxd.it/7dFE,3.5
2023-09-23,Cado dalle nubi,2009,https://boxd.it/1cjU,3.5
2023-09-23,Dragon Ball Z: The History of Trunks,1993,https://boxd.it/13WI,3.5
2023-09-23,The Playlist,2022,https://boxd.it/DaoE,3.5
2023-09-23,The Talent of the Hornet,2020,https://boxd.it/oXMA,3.5
2023-09-23,The Billion Dollar Code,2021,https://boxd.it/xhPK,4
2023-09-23,Finding Nemo,2003,https://boxd.it/72i,3
2023-09-23,Spider-Man 2,2004,https://boxd.it/2a88,3
2023-09-23,A Trip to Infinity,2022,https://boxd.it/BZsI,3.5
2023-09-23,Stand by Me Doraemon 2,2020,https://boxd.it/rkrO,3
2023-09-23,Sun In Buckets,2013,https://boxd.it/6OiU,3.5
2023-09-23,Home Alone,1990,https://boxd.it/29Fg,3
2023-09-23,The Lego Movie,2014,https://boxd.it/4pDO,3
2023-09-23,Paddington,2014,https://boxd.it/3RKw,3
2023-09-23,Shrek the Third,2007,https://boxd.it/29yY,3
2023-09-23,Murder on the Orient Express,2017,https://boxd.it/dHjA,3
2023-09-23,Monster House,2006,https://boxd.it/1Z2e,3
2023-09-23,Sing,2016,https://boxd.it/b5EQ,2.5
2023-09-23,The Social Dilemma,2020,https://boxd.it/opQI,3
2023-09-23,Transformers: Rise of the Beasts,2023,https://boxd.it/oQTa,3
2023-09-23,Kung Fu Panda 3,2016,https://boxd.it/4uRQ,3
2023-09-23,Despicable Me 3,2017,https://boxd.it/azpu,3
2023-09-23,The Hangover Part III,2013,https://boxd.it/3GNY,3
2023-09-23,Extraction 2,2023,https://boxd.it/q4Zo,2.5
2023-09-23,Oz the Great and Powerful,2013,https://boxd.it/2cAI,3
2023-09-23,Halloween,2007,https://boxd.it/27u6,3
2023-09-23,Django,1966,https://boxd.it/1Vr0,3
2023-09-23,A Dog's Purpose,2017,https://boxd.it/dgSI,2.5
2023-09-23,Dragon Ball Super: Broly,2018,https://boxd.it/iaWE,3
2023-09-23,Happy Feet Two,2011,https://boxd.it/2Om,3
2023-09-23,Pawn Sacrifice,2014,https://boxd.it/7dlE,3
2023-09-23,Who Am I,2014,https://boxd.it/8ND2,3
2023-09-23,DAHMER - Monster: The Jeffrey Dahmer Story,2022,https://boxd.it/CRG0,3
2023-09-23,Insidious: The Red Door,2023,https://boxd.it/mIIu,3
2023-09-23,All the Bright Places,2020,https://boxd.it/bpfQ,2.5
2023-09-23,Dragon Ball Z: Battle of Gods,2013,https://boxd.it/4a0C,3
2023-09-23,Dragon Ball Z: Resurrection 'F',2015,https://boxd.it/9GCI,3
2023-09-23,Dragon Ball Z: Bardock - The Father of Goku,1990,https://boxd.it/13WS,3
2023-09-23,Uncorked,2020,https://boxd.it/oznm,3
2023-09-23,Stand by Me Doraemon,2014,https://boxd.it/7VEK,3
2023-09-23,Welcome to the South,2010,https://boxd.it/IvQ,3
2023-09-23,Welcome to the North,2012,https://boxd.it/3022,2.5
2023-09-23,Doraemon: New Nobita's Great Demon - Peko and the Exploration Party of Five,2014,https://boxd.it/8ReK,3
2023-09-23,Messi,2014,https://boxd.it/8KLM,3
2023-09-23,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,2.5
2023-09-23,Spider-Man: Far From Home,2019,https://boxd.it/fegG,2.5
2023-09-23,Baggio: The Divine Ponytail,2021,https://boxd.it/pWtE,3
